Timestamp,X_mG,Y_mG,Z_mG
1775850762.784,-32891.60,-32957.90,-31985.65
1775850762.819,-32891.60,-32957.90,-31985.65
1775850762.830,-32891.60,-32957.90,-31985.65
1775850762.847,-32891.60,-32957.90,-31985.65
1775850762.860,-32891.60,-32957.90,-31985.65
1775850762.872,-32891.60,-32957.90,-31985.65
1775850762.889,-32891.60,-32957.90,-31985.65
1775850762.901,-32891.60,-32957.90,-31985.65
1775850762.917,-32891.60,-32957.90,-31985.65
1775850762.929,-32891.60,-32957.90,-31985.65
1775850762.945,-32891.60,-32957.90,-31985.65
1775850762.959,-32891.60,-32957.90,-31985.65
1775850762.972,-32891.60,-32957.90,-31985.65
1775850762.987,-32891.60,-32957.90,-31985.65
1775850762.999,-32891.60,-32957.90,-31985.65
1775850763.012,-32891.60,-32957.90,-31985.65
1775850763.022,-32891.60,-32957.90,-31985.65
1775850763.044,-32891.60,-32957.90,-31985.65
1775850763.057,-32891.60,-32957.90,-31985.65
1775850763.072,-32891.60,-32957.90,-31985.65
1775850763.085,-32891.60,-32957.90,-31985.65
1775850763.099,-32891.60,-32957.90,-31985.65
1775850763.112,-32891.60,-32957.90,-31985.65
1775850763.128,-32891.60,-32957.90,-31985.65
1775850763.142,-32891.60,-32957.90,-31985.65
1775850763.157,-32891.60,-32957.90,-31985.65
1775850763.169,-32891.60,-32957.90,-31985.65
1775850763.182,-32891.60,-32957.90,-31985.65
1775850763.199,-32891.60,-32957.90,-31985.65
1775850763.212,-32891.60,-32957.90,-31985.65
1775850763.228,-32891.60,-32957.90,-31985.65
1775850763.242,-32891.60,-32957.90,-31985.65
1775850763.256,-32891.60,-32957.90,-31985.65
1775850763.263,-32891.60,-32957.90,-31985.65
1775850763.287,-32891.60,-32957.90,-31985.65
1775850763.302,-32891.60,-32957.90,-31985.65
1775850763.314,-32891.60,-32957.90,-31985.65
1775850763.330,-32891.60,-32957.90,-31985.65
1775850763.344,-32891.60,-32957.90,-31985.65
1775850763.358,-32891.60,-32957.90,-31985.65
1775850763.372,-32891.60,-32957.90,-31985.65
1775850763.386,-32891.60,-32957.90,-31985.65
1775850763.399,-32891.60,-32957.90,-31985.65
1775850763.414,-32891.60,-32957.90,-31985.65
1775850763.428,-32891.60,-32957.90,-31985.65
1775850763.442,-32891.60,-32957.90,-31985.65
1775850763.455,-32891.60,-32957.90,-31985.65
1775850763.463,-32891.60,-32957.90,-31985.65
1775850763.487,-32891.60,-32957.90,-31985.65
1775850763.498,-32891.60,-32957.90,-31985.65
1775850763.512,-32891.60,-32957.90,-31985.65
1775850763.526,-32891.60,-32957.90,-31985.65
1775850763.542,-32891.60,-32957.90,-31985.65
1775850763.557,-32891.60,-32957.90,-31985.65
1775850763.562,-32891.60,-32957.90,-31985.65
1775850763.587,-32891.60,-32957.90,-31985.65
1775850763.604,-32891.60,-32957.90,-31985.65
1775850763.619,-32891.60,-32957.90,-31985.65
1775850763.632,-32891.60,-32957.90,-31985.65
1775850763.643,-32891.60,-32957.90,-31985.65
1775850763.657,-32891.60,-32957.90,-31985.65
1775850763.672,-32891.60,-32957.90,-31985.65
1775850763.682,-32891.60,-32957.90,-31985.65
1775850763.702,-32891.60,-32957.90,-31985.65
1775850763.714,-32891.60,-32957.90,-31985.65
1775850763.730,-32891.60,-32957.90,-31985.65
1775850763.742,-32891.60,-32957.90,-31985.65
1775850763.759,-32891.60,-32957.90,-31985.65
1775850763.774,-32891.60,-32957.90,-31985.65
1775850763.782,-32891.60,-32957.90,-31985.65
1775850763.803,-32891.60,-32957.90,-31985.65
1775850763.818,-32891.60,-32957.90,-31985.65
1775850763.834,-32891.60,-32957.90,-31985.65
1775850763.849,-32891.60,-32957.90,-31985.65
1775850763.863,-32891.60,-32957.90,-31985.65
1775850763.871,-32891.60,-32957.90,-31985.65
1775850763.893,-32891.60,-32957.90,-31985.65
1775850763.905,-32891.60,-32957.90,-31985.65
1775850763.920,-32891.60,-32957.90,-31985.65
1775850763.935,-32891.60,-32957.90,-31985.65
1775850763.940,-32891.60,-32957.90,-31985.65
1775850763.966,-32891.60,-32957.90,-31985.65
1775850763.982,-32891.60,-32957.90,-31985.65
1775850763.992,-32891.60,-32957.90,-31985.65
1775850764.008,-32891.60,-32957.90,-31985.65
1775850764.023,-32891.60,-32957.90,-31985.65
1775850764.029,-32891.60,-32957.90,-31985.65
1775850764.057,-32891.60,-32957.90,-31985.65
1775850764.070,-32891.60,-32957.90,-31985.65
1775850764.085,-32891.60,-32957.90,-31985.65
1775850764.093,-32891.60,-32957.90,-31985.65
1775850764.108,-32891.60,-32957.90,-31985.65
1775850764.132,-32891.60,-32957.90,-31985.65
1775850764.147,-32891.60,-32957.90,-31985.65
1775850764.157,-32891.60,-32957.90,-31985.65
1775850764.172,-32891.60,-32957.90,-31985.65
1775850764.188,-32891.60,-32957.90,-31985.65
1775850764.195,-32891.60,-32957.90,-31985.65
1775850764.220,-32891.60,-32957.90,-31985.65
1775850764.235,-32891.60,-32957.90,-31985.65
1775850764.251,-32891.60,-32957.90,-31985.65
1775850764.259,-32891.60,-32957.90,-31985.65
1775850764.282,-32891.60,-32957.90,-31985.65
1775850764.282,-32891.60,-32957.90,-31985.65
1775850764.319,-32891.60,-32957.90,-31985.65
1775850764.336,-32891.60,-32957.90,-31985.65
1775850764.346,-32891.60,-32957.90,-31985.65
1775850764.362,-32891.60,-32957.90,-31985.65
1775850764.377,-32891.60,-32957.90,-31985.65
1775850764.392,-32891.60,-32957.90,-31985.65
1775850764.406,-32891.60,-32957.90,-31985.65
1775850764.410,-32891.60,-32957.90,-31985.65
1775850764.429,-32891.60,-32957.90,-31985.65
